alpha,loss
-0.12060301507537696,0.003090830116470655
-0.11939092447160433,0.0030908260725438595
-0.11817883386783169,0.003090822538981835
-0.11696674326405906,0.003090819266686837
-0.11575465266028644,0.0030908159531652926
-0.1145425620565138,0.0030908122897148134
-0.11333047145274117,0.0030908092565834523
-0.11211838084896854,0.003090805879980326
-0.1109062902451959,0.003090802781035503
-0.10969419964142327,0.0030907991262773674
-0.10848210903765063,0.0030907962510983147
-0.107270018433878,0.003090793123841286
-0.10605792783010537,0.0030907904071112474
-0.10484583722633273,0.003090786660462618
-0.1036337466225601,0.003090784394989411
-0.10242165601878747,0.0030907811318834624
-0.10120956541501483,0.003090777516861757
-0.0999974748112422,0.003090774727364381
-0.09878538420746957,0.003090771955003341
-0.09757329360369693,0.0030907689206302164
-0.0963612029999243,0.003090766404569149
-0.09514911239615167,0.003090763708452384
-0.09393702179237903,0.0030907611660659314
-0.0927249311886064,0.0030907583989202977
-0.09151284058483378,0.003090755390872558
-0.09030074998106113,0.0030907532113293805
-0.0890886593772885,0.0030907507287959257
-0.08787656877351588,0.003090748327722152
-0.08666447816974324,0.0030907454766333103
-0.08545238756597061,0.003090742792189121
-0.08424029696219798,0.0030907403136293094
-0.08302820635842534,0.003090737760812044
-0.08181611575465271,0.003090735549728076
-0.08060402515088008,0.003090733303378026
-0.07939193454710744,0.003090730973581473
-0.07817984394333481,0.003090728732943535
-0.07696775333956218,0.003090726592640082
-0.07575566273578954,0.0030907241659859815
-0.07454357213201691,0.00309072274590532
-0.07333148152824429,0.003090719934304555
-0.07211939092447164,0.0030907178667684398
-0.07090730032069902,0.003090716235836347
-0.06969520971692639,0.0030907144690553346
-0.06848311911315375,0.0030907118539015453
-0.06727102850938112,0.003090710251778364
-0.06605893790560849,0.00309070832952857
-0.06484684730183585,0.003090706332276265
-0.06363475669806322,0.0030907042739291984
-0.062422666094290584,0.003090702594568332
-0.06121057549051795,0.003090701204786698
-0.05999848488674532,0.003090698743114869
-0.058786394282972686,0.003090697075178226
-0.05757430367920005,0.003090695515771707
-0.05636221307542742,0.003090693966547648
-0.05515012247165478,0.003090692175676425
-0.05393803186788215,0.0030906908718248208
-0.052725941264109524,0.003090689658621947
-0.05151385066033688,0.003090687901029984
-0.050301760056564254,0.003090686447173357
-0.049089669452791626,0.0030906846848626933
-0.047877578849018984,0.003090683484822512
-0.046665488245246356,0.0030906815826892853
-0.04545339764147373,0.0030906807077427704
-0.044241307037701086,0.003090679049491882
-0.04302921643392846,0.0030906779915094375
-0.04181712583015583,0.0030906765225032964
-0.04060503522638319,0.0030906753686567147
-0.03939294462261056,0.003090674124409755
-0.03818085401883793,0.0030906733435889086
-0.03696876341506529,0.0030906716153025625
-0.03575667281129266,0.0030906703725457193
-0.03454458220752003,0.0030906697583695255
-0.03333249160374739,0.003090668746829033
-0.03212040099997476,0.0030906676900883515
-0.030908310396202135,0.0030906663844982784
-0.029696219792429493,0.003090665391087532
-0.028484129188656865,0.0030906644493341445
-0.027272038584884237,0.0030906636856496334
-0.026059947981111595,0.003090662811944882
-0.024847857377338967,0.003090661729623874
-0.023635766773566325,0.0030906611430148285
-0.022423676169793696,0.0030906602355341116
-0.02121158556602107,0.003090659816066424
-0.019999494962248426,0.003090659600496292
-0.018787404358475798,0.003090658683826526
-0.01757531375470317,0.003090657805154721
-0.016363223150930528,0.003090657348682483
-0.0151511325471579,0.0030906567032138507
-0.013939041943385272,0.003090656247238318
-0.01272695133961263,0.0030906559934218724
-0.011514860735840002,0.003090655220299959
-0.010302770132067374,0.003090655217071374
-0.009090679528294732,0.0030906537897884847
-0.007878588924522104,0.0030906540292004745
-0.0066664983207494755,0.003090653640280167
-0.0054544077169768335,0.0030906534428397814
-0.004242317113204205,0.0030906532565752663
-0.0030302265094315772,0.0030906536045173802
-0.0018181359056589352,0.0030906531559924287
-0.0006060453018863071,0.0030906529776751996
0.000606045301886321,0.0030906526014208794
0.001818135905658963,0.0030906534624596436
0.003030226509431591,0.0030906529806554316
0.004242317113204219,0.0030906525845328966
0.005454407716976861,0.003090652734786272
0.006666498320749503,0.0030906529786686103
0.007878588924522117,0.003090653139849504
0.00909067952829476,0.0030906536504626274
0.010302770132067401,0.0030906539745628836
0.011514860735840016,0.0030906539832552273
0.012726951339612658,0.0030906540632247926
0.0139390419433853,0.003090654464562734
0.015151132547157914,0.0030906546995043754
0.016363223150930556,0.003090655288845301
0.017575313754703198,0.0030906556802491347
0.018787404358475812,0.00309065609027942
0.019999494962248454,0.003090656304607789
0.021211585566021096,0.0030906575384239358
0.02242367616979371,0.0030906575438876946
0.023635766773566352,0.0030906583555042745
0.024847857377338994,0.003090658437212308
0.02605994798111161,0.003090659470607837
0.02727203858488425,0.0030906603284180166
0.028484129188656893,0.003090661261230707
0.029696219792429507,0.0030906619732578595
0.03090831039620215,0.0030906631015241146
0.03212040099997479,0.0030906640713413555
0.033332491603747405,0.003090665043145418
0.03454458220752005,0.0030906659146149955
0.03575667281129269,0.003090666287392378
0.0369687634150653,0.0030906677519281704
0.038180854018837945,0.003090669124573469
0.03939294462261059,0.0030906695475180945
0.0406050352263832,0.003090670970082283
0.041817125830155844,0.00309067210406065
0.043029216433928485,0.0030906733838220435
0.0442413070377011,0.0030906750192244846
0.04545339764147374,0.0030906763218343258
0.046665488245246384,0.0030906775176525116
0.047877578849019,0.0030906788962582745
0.04908966945279164,0.0030906805728872617
0.05030176005656428,0.0030906819018224874
0.051513850660336896,0.003090683066348235
0.05272594126410954,0.0030906849302351474
0.05393803186788218,0.003090685871243477
0.055150122471654794,0.003090687692165375
0.056362213075427436,0.0030906893655657766
0.05757430367920008,0.0030906908762951693
0.05878639428297269,0.003090692084034284
0.059998484886745335,0.003090694046517213
0.06121057549051798,0.0030906958684325217
0.06242266609429059,0.0030906976295014222
0.06363475669806323,0.003090699759374062
0.06484684730183587,0.0030907012758155665
0.06605893790560849,0.003090703502794107
0.06727102850938113,0.003090705190350612
0.06848311911315377,0.003090706677486499
0.06969520971692639,0.00309070918460687
0.07090730032069903,0.003090710894018412
0.07211939092447167,0.0030907130728165307
0.07333148152824431,0.0030907152362167835
0.07454357213201693,0.0030907169048984846
0.07575566273578957,0.0030907191544771195
